order_id,customer_id,order_date,order_status,payment_method
1,1,2025-05-21,Completed,UPI
2,1,2025-03-22,Completed,UPI
3,1,2025-09-21,Completed,COD
4,1,2025-10-19,Completed,"Credit Card"
5,1,2025-07-17,Completed,UPI
6,1,2025-11-24,Completed,"Credit Card"
7,1,2025-11-06,Returned,COD
8,1,2025-07-26,Returned,UPI
9,1,2025-10-06,Cancelled,"Debit Card"
10,1,2024-12-28,Completed,COD
11,1,2025-10-14,Completed,"Credit Card"
12,1,2025-06-17,Completed,COD
13,1,2025-09-17,Completed,"Debit Card"
14,1,2025-11-10,Completed,COD
15,1,2025-09-12,Completed,COD
16,1,2025-10-06,Completed,"Credit Card"
17,1,2025-02-20,Returned,"Credit Card"
18,1,2025-11-11,Returned,COD
19,1,2025-10-23,Cancelled,UPI
20,1,2025-04-18,Completed,COD
21,1,2025-10-06,Completed,UPI
22,1,2025-10-18,Completed,COD
23,2,2024-12-23,Completed,"Credit Card"
24,2,2024-04-28,Completed,UPI
25,2,2024-05-30,Completed,"Credit Card"
26,2,2025-02-06,Completed,UPI
27,2,2025-01-16,Returned,"Debit Card"
28,2,2024-06-23,Returned,COD
29,2,2025-02-23,Cancelled,UPI
30,2,2024-06-27,Completed,COD
31,2,2024-09-06,Completed,UPI
32,2,2024-03-29,Completed,"Credit Card"
33,2,2024-10-25,Completed,"Credit Card"
34,2,2024-05-20,Completed,"Debit Card"
35,2,2025-02-17,Completed,COD
36,2,2025-02-16,Completed,UPI
37,2,2024-07-31,Returned,COD
38,2,2024-12-19,Returned,"Credit Card"
39,2,2025-03-12,Cancelled,"Credit Card"
40,2,2024-04-26,Completed,COD
41,2,2025-02-13,Completed,COD
42,3,2025-05-26,Completed,"Credit Card"
43,3,2024-09-07,Completed,"Debit Card"
44,3,2025-03-24,Completed,UPI
45,3,2025-05-08,Completed,COD
46,3,2025-06-04,Completed,"Debit Card"
47,3,2025-01-31,Returned,"Credit Card"
48,3,2025-04-04,Returned,COD
